,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
0,2013-01-15,1.1666666666666667,17842.946790676535,0.0,0.8975,0.6491666666666667,92811.16666151641,0.0,17695.86315293901,147.0836377374604,147.0836377374604,147.08363773744117,147.0836377374604,4061564.525354817,4061564.5253549484,4061564.525354817
1,2013-01-31,1.3333333333333333,17515.038598852694,0.0,0.89875,0.66625,91641.79777032149,0.0,35052.42706499749,158.47468679418807,83.08598944952098,150.93107557267237,254.72285129771228,4078824.841102372,4078928.632878105,4078996.47796422
2,2013-02-15,9.5,17186.589700786237,0.0,0.9,0.6833333333333333,90455.73526729601,0.0,51522.3806752098,716.6360905738464,105.71759561715986,193.80640142490037,324.6303473191998,4095759.211434125,4095921.416177462,4096041.3364794855
3,2013-02-28,17.5,16857.59998452433,0.0,0.90125,0.7004166666666667,89252.68026220691,0.0,67116.57421443751,1263.406445296777,417.92518927573786,769.5550663706175,1296.9831079330945,4111468.695399923,4112009.4610956023,4112393.771084337
4,2013-03-15,31.833333333333332,16528.069338114172,0.0,0.9025000000000001,0.7175,88032.32670100764,0.0,81401.6068883763,2243.036664175361,947.8465158083308,1736.8092139932255,2887.389690056805,4125529.62327075,4126800.7212197226,4127719.8794439808
5,2013-03-31,38.166666666666664,16197.997649602932,0.0,0.90375,0.7345833333333334,86794.36114991528,0.0,94923.70800964825,2675.8965283310145,1415.6607382390603,2559.198983347162,4314.51674858379,4138375.778249839,4140439.5198859884,4141997.702735181
6,2013-04-15,32.666666666666664,15867.384807037783,0.0,0.905,0.7516666666666667,85538.46257163225,0.0,108491.10090722691,2299.9919094589995,1524.6653640048878,2794.2027187351737,4732.391542188242,4150781.22910567,4153512.7019743035,4155621.8379058354
7,2013-04-30,20.833333333333332,15536.230698465874,0.0,0.90625,0.7687499999999999,84264.30209337425,0.0,122536.1041792616,1491.2274264313314,1114.2589954207033,2048.644360087224,3461.9854531247843,4164039.2493291516,4167000.2883126885,4169395.668273667
8,2013-05-15,16.666666666666668,15204.535211934435,0.0,0.9075,0.7858333333333333,82971.54276635434,0.0,136534.1881911828,1206.4512000131385,637.2218185282496,1180.853963547458,1983.4466914686354,4177940.7332340972,4181023.969561076,4183501.249079644
9,2013-05-31,24.333333333333332,14872.298235490569,0.0,0.9087500000000001,0.8029166666666666,81659.83931635179,0.0,149676.04697005067,1730.4394566226135,575.9069096638058,1055.324577957668,1774.7959039789318,4191681.2238990143,4194840.943218595,4197390.734886457
10,2013-06-15,27.166666666666668,14539.519657181494,0.0,0.91,0.82,80328.83788498066,0.0,162291.47933664534,1924.0872905869849,652.6994114168555,1208.3136721766807,2037.6427904434458,4204936.850795927,4208172.149203598,4210854.955300678
11,2013-06-30,22.333333333333332,14349.958409661542,0.0,0.91125,0.8229166666666666,79777.39213154436,0.0,175047.69087836496,1593.746867941881,941.992899440221,1733.4304523725193,2925.183110870501,4217382.469923561,4220788.677160905,4223583.079927355
12,2013-07-15,14.166666666666666,14160.40534768221,0.0,0.9125,0.8258333333333333,79219.05089612427,0.0,188172.5107618851,1035.5854641622225,712.5143585003802,1295.5107991081074,2174.625901197436,4230203.178734007,4233653.571709431,4236548.091900159
13,2013-07-31,10.833333333333334,13970.860533395395,0.0,0.9137500000000001,0.82875,78653.6835096152,0.0,201335.60681225266,807.7644830276682,511.2623512180772,930.6562706490455,1567.423701154305,4243201.199803745,4246693.775972191,4249635.00620197
14,2013-08-15,5.5,13781.324028953026,0.0,0.915,0.8316666666666667,78081.15597140526,0.0,214673.67992799333,443.25091321238114,412.68964397461133,757.4662554948486,1283.8129084656416,4256199.137073093,4259717.633745653,4262716.32443045
15,2013-08-31,3.5,13591.79589650694,0.0,0.91625,0.8345833333333333,77501.33084252,0.0,227958.91749996867,306.55832453164845,246.74971241152832,451.98412244171845,763.5234744770345,4269313.558648207,4272857.445519731,4275860.733977808
16,2013-09-15,1.5,13402.276198209096,0.0,0.9175,0.8374999999999999,76914.06713462895,0.0,241191.3279623267,169.86573585091583,172.64312378547683,314.0503413552543,526.9327785120453,4282393.430413462,4285945.671376585,4288979.538363979
17,2013-09-30,1.5,13212.764996211317,0.0,0.91875,0.8404166666666666,76319.22019472242,0.0,254234.22722268722,169.86573585091583,95.94129245265823,177.1211300686621,298.27801517066354,4295427.240525307,4298981.3152427245,4302005.164888747
18,2013-10-15,1.3333333333333333,13023.262352665508,0.0,0.92,0.8433333333333333,75716.64158526462,0.0,267099.01488855865,158.47468679418807,103.27057360772984,189.72910309884196,320.8032513032364,4308257.696207188,4311814.848492304,4314817.349874849
19,2013-10-31,1.1666666666666667,12833.768329723602,0.0,0.92125,0.84625,75106.17895961142,0.0,279785.6995805446,147.0836377374604,99.20745428256042,181.35813999810003,303.55434310580415,4320914.179823304,4324467.2586820265,4327474.914837071
20,2013-11-15,1.3333333333333333,12644.282989537474,0.0,0.9225,0.8491666666666666,74487.6759324741,0.0,292271.50788328797,158.47468679418807,89.93025974509301,162.8782155481619,273.0544549022742,4333405.794192844,4336948.663456008,4339962.908401545
21,2013-11-30,1.6666666666666667,12454.806394258962,0.0,0.92375,0.8520833333333333,73860.97194519769,0.0,304545.0574926393,181.25678490764355,91.20639637853114,165.31811897382798,280.09863269978155,4345681.922654656,4349238.151731299,4352249.792816967
22,2013-12-15,1.5,12265.33860604001,0.0,0.925,0.855,73225.902125612,0.0,316640.5303628284,169.86573585091583,110.81336625393537,202.83178627128012,336.7693460647803,4357733.612486911,4361300.658551036,4364315.592324257
