,sia_date,avg_S,std_S,low_S,high_S,avg_base,std_base,avg_total,std_total,avg_averted,std_averted,low_av,high_av
0,2035-01-15,2208398.4863220793,227230.83217805382,1791345.22969704,2524688.349415158,1879047.202634739,322277.9332160122,1631351.7616902553,298937.88171916304,247695.4409444831,79667.14886995024,111098.64517802294,350816.6404118036
1,2035-02-15,2189211.842213453,227135.5963180757,1780105.3091001955,2508788.0840854244,1877779.7666459847,316168.9607000632,1632712.5629566405,294054.17884301353,245067.2036893445,79793.73318711101,110836.89935191545,350059.0309581678
2,2035-03-15,2158470.150515399,236718.74992071814,1727941.2023578603,2488212.892231879,1876471.5655083314,318731.2821614305,1632756.9085558765,295055.5700580032,243714.65695245485,81490.56189987346,107752.9635771956,352473.05535386247
3,2035-04-15,2132722.72944658,248006.0592390868,1689045.2001988303,2472771.2838240303,1875981.3915894725,334511.6305505527,1632184.047684013,307146.1999866129,243797.3439054593,85404.81519364277,101715.45249783005,360206.65307510184
4,2035-05-15,2125690.6755734347,253503.63769381098,1663102.3099171515,2470872.2919407343,1875486.2864687336,349078.8536257533,1629989.5794670607,318333.1367164499,245496.70700167303,88852.53069861227,98437.10465782967,367516.62022942986
5,2035-06-15,2130139.560729812,254711.19388560587,1660806.2303833866,2476983.345176864,1875205.329520054,354263.1049016863,1628390.2212173133,322333.10572677734,246815.10830274047,89624.97444135605,97289.01895750611,369702.9273191795
6,2035-07-15,2144657.4206320373,253517.43993582792,1675925.124908771,2488746.6719889366,1875042.861914591,354170.0311526143,1626650.3986867873,322314.47883250494,248392.46322780353,89093.883121679,98823.7374915828,367978.217664124
7,2035-08-15,2161901.9986285414,250928.61443682577,1696142.6152142219,2502156.5274277898,1875456.8206399998,351774.7005815534,1626298.2900131552,320888.3096627538,249158.53062684456,87892.30148541686,98460.80927066476,366025.6733814318
8,2035-09-15,2176453.221102573,247102.71920422127,1718536.8952127928,2509631.9024124136,1876019.055957851,347500.68921504373,1626569.3168085418,318024.4124110371,249449.73914930897,85765.47591277146,100641.20780920202,361516.7635812218
9,2035-10-15,2187389.623225407,242094.81372540674,1741987.1818284988,2514594.368912874,1876745.1002494774,341616.16130230745,1627370.8572240232,313750.210083958,249374.24302545385,82874.20483806139,103749.71524908955,358371.8016150248
10,2035-11-15,2196335.3351889504,237054.98174342452,1760588.37978442,2517718.382483226,1877065.487719371,334150.74611703015,1627613.5611975957,307691.4868517942,249451.92652177572,79851.21009422682,107588.08756946506,353624.1650685851
11,2035-12-15,2206584.724531506,232915.5198999585,1779298.8292616236,2525000.4196459856,1876846.7919020932,326722.2331486921,1627088.1435024855,301451.4079755892,249758.64839960748,77889.52160160545,113814.85732436132,349499.68398721365
12,2036-01-15,2209033.2973054154,228490.49030969487,1790548.3375344998,2524768.5378151764,1876521.373539415,320730.90323465393,1627985.0576412336,297043.829339212,248536.31589818178,77327.47806440135,114069.83359580582,349649.16853781295
13,2036-02-15,2188895.80775621,228987.39611823627,1773101.634357835,2504827.1525898795,1876256.950046756,313581.149127989,1630666.6300198825,291059.85879806156,245590.32002687358,77465.59053366422,111824.5656825563,349580.8161204902
14,2036-03-15,2157159.4619691516,239715.57909832709,1718985.1365385163,2486731.3165537333,1876535.7385737603,318245.00412420224,1632593.9290113891,293750.3868248038,243941.80956237126,79867.34512959722,108870.57140680627,352963.0124025049
15,2036-04-15,2130826.075649825,251668.57432480704,1668271.0129983574,2474720.2898607077,1877491.9750692192,337134.9395652569,1633511.972538411,308612.241812732,243980.00253080853,84060.77813563604,104328.6818714781,356921.8196000083
16,2036-05-15,2123415.846805874,257036.62104956908,1643346.1394609045,2473346.298596104,1878494.525403149,354075.3853975263,1632888.6239017413,322326.64643789193,245605.90150140773,87312.07740152786,97569.83767019032,363251.6245444841
17,2036-06-15,2127427.1837420454,257802.27629584647,1647678.2736958687,2476896.052993843,1878872.9276287209,360401.273822579,1631723.0061037822,327588.19418827846,247149.9215249387,88172.03831104902,98284.40119891365,365399.9057815714
18,2036-07-15,2141464.967994432,256486.19423688034,1660403.264085304,2492182.1756401965,1879088.950703906,360659.31467726076,1630137.2380729655,327792.88760747446,248951.71263094028,87512.8413287523,98255.24164080326,365969.66415212076
19,2036-08-15,2158331.860617761,253743.72121784874,1682739.2977209606,2506154.8833206682,1879234.2374215699,358286.50500538986,1629376.6175185225,326184.67490425747,249857.619903047,86329.42618982907,97997.50603739644,362606.89420373144
20,2036-09-15,2172608.2848060154,249701.21091122084,1709344.5957388254,2514162.3582542543,1879287.3508610462,353984.942231651,1629028.7113405028,323034.5065249796,250258.63952054348,84501.53938198596,101414.75058575397,359747.5150793773
21,2036-10-15,2183420.5267683715,244668.31780488652,1732131.651284564,2518296.8685654034,1879344.6180599239,347747.6738021719,1629051.1565330573,318262.2019254408,250293.46152686654,82007.30546215827,106115.1275842281,357986.05608102144
22,2036-11-15,2192525.2955447845,239569.4404830769,1755894.9079191594,2524344.716776388,1879043.943752935,339988.2848647634,1628697.6399611465,312098.01730977005,250346.30379178864,79507.50132051905,111853.57018302637,355120.7370753565
23,2036-12-15,2202612.0632265024,235578.87234784805,1774878.3161610458,2528905.980323166,1878521.298635634,332616.75603721855,1628071.7999953853,306277.1056238001,250449.4986402485,77809.3754863736,116371.87750263527,351331.4451157354
