,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
0,2014-01-15,38.333333333333336,14595.054501110419,0.0,0.5,0.0,26536.462729291667,0.0,6150.0949309845455,8444.95957012611,8444.95957012611,8444.959570125046,8444.95957012611,2377733.9195422432,2377733.9195417794,2377733.9195422432
1,2014-01-31,73.16666666666667,14730.32363812078,0.0,0.495,0.0,26565.0561553125,0.0,4955.7744644179475,15924.644104686944,5768.0334741670995,12355.99944686225,23506.052536481147,2368958.1906438824,2380108.243733503,2386696.209706197
2,2014-02-15,192.83333333333334,14865.850115965333,0.0,0.49,0.0,26593.649581333335,0.0,-21798.777877483983,41620.402457867225,11867.476523419951,25687.075340141066,48412.266442916356,2344814.6314691636,2369287.0185093204,2385693.0787087
3,2014-02-28,277.6666666666667,15001.633934644073,0.0,0.485,0.0,26622.243007354165,0.0,-66633.62021932635,59836.476276486675,23167.065907801614,50452.84893260422,95955.89714053126,2284199.408309342,2333835.803511364,2367975.226265262
4,2014-03-15,276.6666666666667,15137.675094157,0.0,0.48,0.0,26650.836433375,0.0,-111117.69361597486,59621.748490805505,32606.306509143677,70624.54786768803,131893.95558247593,2202142.82506569,2278348.9307378354,2332776.1465503923
5,2014-03-31,190.83333333333334,15273.973594504116,0.0,0.475,0.0,26679.429859395834,0.0,-137034.66690797568,41190.946886504884,28738.899696697383,61407.23543201097,117017.24939449756,2142951.3316446366,2232215.6689003264,2299393.887392065
6,2014-04-15,80.0,15410.529435685416,0.0,0.47,0.0,26708.023285416668,0.0,-139016.0881124651,17391.950640174953,19654.764546513645,42537.13492546929,81001.2379640572,2113891.322949811,2205089.063410553,2277105.326262754
7,2014-04-30,55.0,15547.342617700908,0.0,0.46499999999999997,0.0,26736.616711437502,0.0,-135492.50149290985,12023.755998145647,7616.639894707647,16565.360534248714,31616.186601064393,2113268.399563302,2204071.045493998,2276495.5565490294
8,2014-05-15,25.166666666666668,15684.413140550581,0.0,0.46,0.0,26765.210137458333,0.0,-125425.79874434974,5617.710391990675,4392.185135899321,9682.253962800893,18314.92907366859,2119943.822838116,2210073.2046717494,2282585.264449595
9,2014-05-31,20.333333333333332,15821.741004234449,0.0,0.455,0.0,26793.803563479167,0.0,-114183.91716798046,4579.859427865008,2812.8019442958225,6064.187236896766,11534.69427079984,2129181.0078548887,2219830.7584390845,2292295.823964936
