GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
COUNTRIES,AFG,Afghanistan,2022,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1913143,1147813,60
COUNTRIES,AFG,Afghanistan,2022,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1913143,1518858,79.39
COUNTRIES,AFG,Afghanistan,2021,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1823296,1354171,74.27
COUNTRIES,AFG,Afghanistan,2021,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1823296,995655,54.61
COUNTRIES,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1780564,960032,53.92
COUNTRIES,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1780564,1365889,76.71
COUNTRIES,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1733907,905265,52
COUNTRIES,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1733907,1303953,75
COUNTRIES,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1689680,1393058,82.45
COUNTRIES,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1689680,1006097,59.54
COUNTRIES,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1584508,809653,51.1
COUNTRIES,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1584508,1232145,77.76
COUNTRIES,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1220035,911280,74.69
COUNTRIES,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1220035,626662,51.36
COUNTRIES,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1429729,1314752,92
