,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
0,2014-01-15,2.8333333333333335,5284.675671646944,0.0,0.88,0.0,25407.094575225696,0.0,4559.149142222421,725.5265294246556,725.5265294246556,725.5265294247691,725.5265294246556,561668.1558711808,561668.1558713015,561668.1558711808
1,2014-01-31,2.1666666666666665,5285.055033759582,0.0,0.88,0.0,25408.91843153646,0.0,9245.030086457205,599.1740895247153,396.6132438014585,774.1764936578015,1378.1769334104217,565575.03397153,566179.0344112845,566556.5976611389
2,2014-02-15,1.3333333333333333,5285.434395872221,0.0,0.88,0.0,25410.74228784722,0.0,14089.230942679686,441.23353964979026,333.95588472942825,658.35322016508,1162.4225510930346,570056.3066845757,570806.1155869918,571346.3210862756
3,2014-02-28,1.1666666666666667,5285.81375798486,0.0,0.88,0.0,25412.566144157987,0.0,18965.3992709897,409.6454296748053,222.49554182311726,440.9574979710239,783.697293235803,574853.7675694888,575650.9718470032,576263.6114861402
4,2014-03-15,1.0,5286.193120097499,0.0,0.88,0.0,25414.39000046875,0.0,23873.535071387363,378.05731969982025,230.68463515787727,454.34178794857496,795.0123472628067,579617.5153403601,580482.8231791531,581163.3708184389
5,2014-03-31,1.0,5286.572482210137,0.0,0.88,0.0,25416.213856779512,0.0,28782.050233897695,378.05731969982025,207.36986019528533,402.57811858637484,716.2739145082227,584465.5994062935,585366.8175427765,586090.3741394519
6,2014-04-15,0.8333333333333334,5286.951844322777,0.0,0.88,0.0,25418.037713090278,0.0,33722.53286849568,346.46920972483525,182.62605783607236,360.08626883653824,643.5073647937649,589366.959505808,590293.683118258,591043.0342810767
7,2014-04-30,0.6666666666666666,5287.331206435416,0.0,0.88,0.0,25419.86156940104,0.0,38694.98297518125,314.8810997498502,173.07747089791098,342.38634469046417,610.2553177768461,594285.6473293145,595238.6279800084,596010.7260178839
8,2014-05-15,2.5,5287.710568548054,0.0,0.88,0.0,25421.685425711803,0.0,43320.34323425463,662.3503094746854,176.41550340273392,352.1048601753961,623.8481015522066,599185.1482897674,600174.2336883785,600977.142737049
9,2014-05-31,4.5,5288.089930660693,0.0,0.88,0.0,25423.50928202257,0.0,47567.02553574083,1041.4076291745057,380.3552138063495,749.8369309631446,1330.5723484885448,603612.9934140663,604712.4866880797,605643.2207563636
10,2014-06-15,4.833333333333333,5288.469292773332,0.0,0.88,0.0,25425.33313833333,0.0,51750.91097938968,1104.5838491244756,494.7795954916156,985.794737849889,1752.7075336623616,607710.2058407526,609015.1612430005,610094.3270294298
11,2014-06-30,3.1666666666666665,5316.564383149855,0.0,0.87875,0.0,25422.902011475693,0.0,56278.77261316485,788.7027493746255,478.03682734998495,946.1063856978692,1684.340828894344,611907.4686763521,613385.6192404525,614618.1006877703
12,2014-07-15,2.0,5344.654003490948,0.0,0.8775,0.0,25420.470884618055,0.0,61055.8406371061,567.5859795497304,337.6409915182298,659.5646824857789,1166.568315324055,616553.6594699544,618070.7085614548,619378.9091119102
13,2014-07-31,2.5,5372.738153796608,0.0,0.87625,0.0,25418.039757760416,0.0,65766.228481428,662.3503094746854,314.2122070348642,614.669306158128,1092.0572307295683,621244.7707008411,622828.7774090965,624171.4408177683
14,2014-08-15,3.0,5400.816834066841,0.0,0.875,0.0,25415.608630902778,0.0,70409.93067609525,757.1146393996405,362.28902506607125,715.0617249745281,1277.7234114088037,625837.4066119079,627514.5325181856,628933.5677080799
15,2014-08-31,3.0,5428.890044301642,0.0,0.87375,0.0,25413.17750404514,0.0,75081.70608099719,757.1146393996405,385.7322245479397,759.3505483314133,1352.5255444710951,630452.5090833314,632184.0720141593,633663.0959300033
16,2014-09-15,2.6666666666666665,5456.957784501012,0.0,0.8725,0.0,25410.746377187497,0.0,79844.72544604848,693.9384194496704,339.57150794917675,663.2137227198225,1171.9851426822179,635211.8279774521,636977.8160759406,638509.6407669437
17,2014-09-30,2.3333333333333335,5485.020054664959,0.0,0.87125,0.0,25408.31525032986,0.0,84698.98330121377,630.7621994997005,329.8669976350818,655.112109277614,1162.3629846507968,640004.1956862183,641807.7240213291,643394.2935809783
18,2014-10-15,1.8333333333333333,5513.076854793471,0.0,0.87,0.0,25405.88412347222,0.0,89676.06228643248,535.9978695747453,307.61817683717294,607.581613007262,1085.1423925987028,644874.02779794,646713.2192631161,648342.6366105002
19,2014-10-31,1.6666666666666667,5541.128184886556,0.0,0.86875,0.0,25403.452996614582,0.0,94712.78071171936,504.4097595997604,290.1881700524479,570.3193056750202,1005.7427178387857,649794.0864647656,651684.028142325,653350.0082459368
20,2014-11-15,3.8333333333333335,5569.174044944211,0.0,0.8674999999999999,0.0,25401.021869756943,0.0,99366.89956738899,915.0551892745657,288.9096698241111,561.2947697216282,991.7977399843005,654747.6485968626,656691.90741755,658376.2697310867
21,2014-11-30,6.166666666666667,5597.214434966434,0.0,0.86625,0.0,25398.590742899305,0.0,103606.82527343108,1357.288728924356,500.4645320736644,974.3516896402407,1740.873705675843,659264.5136892596,661314.7701628755,663110.016145534
22,2014-12-15,6.833333333333333,5625.24935495323,0.0,0.865,0.0,25396.159616041667,0.0,107748.43345955998,1483.6411688242958,788.8920564288946,1553.0733638031295,2714.141603649994,663069.5520980533,665386.9461540238,667374.1182330617
23,2014-12-31,5.166666666666667,5653.278804904593,0.0,0.86375,0.0,25393.728489184028,0.0,112233.95219539013,1167.760069074446,800.5393343310293,1589.3639364559087,2833.0931046056935,666907.8323492205,669450.8610224755,671675.4842644864
24,2015-01-15,3.1666666666666665,5681.3027848205265,0.0,0.8625,0.0,25391.29736232639,0.0,117126.55223083601,788.7027493746255,929.632219843752,1839.13739627202,3216.0001301109073,670528.8791204195,673293.026411021,675730.5789305259
25,2015-01-31,2.8333333333333335,5709.321294701037,0.0,0.86125,0.0,25388.86623546875,0.0,122110.34699611244,725.5265294246556,517.2377819153372,1007.7745127454018,1813.317781429607,675103.8731187755,677994.5731929754,680492.1715683993
26,2015-02-15,2.0,5737.334334546111,0.0,0.86,0.0,25386.435108611113,0.0,127280.09535110882,567.5859795497304,482.0973291763415,942.9721112367164,1672.0104372681135,679875.2251131048,682788.9354162856,685341.0466159881
27,2015-02-28,1.5,5765.341904355759,0.0,0.85875,0.0,25384.003981753474,0.0,132572.61560583976,472.8216496247753,344.6750183254486,673.2582880050508,1198.93826933232,684927.2652635231,687881.0190326354,690449.9149542138
28,2015-03-15,4.833333333333333,5793.344004129976,0.0,0.8574999999999999,0.0,25381.572854895836,0.0,137261.37576084526,1104.5838491244756,320.3750735366681,624.169583665475,1097.814229823911,690085.1993404304,693050.1934531016,695642.1480696459
29,2015-03-31,8.666666666666666,5821.340633868761,0.0,0.85625,0.0,25379.141728038194,0.0,141251.60601616488,1831.1103785491312,685.0000081155447,1327.0780629845472,2376.6554313773313,694452.4473734016,697544.4560239858,700278.0996111295
